Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
430788,Goblin Market,Christina Rossetti,"Rossetti, Christina","Dante Gabriel Rossetti, William Morris, Laurence Housman, Joyce Carol Oates","=""0811816494""","=""9780811816496""",0,4.07,Chronicle Books (CA),Hardcover,70,1997,1862,,2017/04/18,to-read,to-read (#632),to-read,,,,0,,,0,,,,,
24040194,Life on the Edge: The Coming of Age of Quantum Biology,Johnjoe McFadden,"McFadden, Johnjoe",Jim Al-Khalili,"=""0307986810""","=""9780307986818""",0,4.06,Crown,Hardcover,368,2015,2014,,2017/04/08,"to-read, biology","to-read (#631), biology (#17)",to-read,,,,0,,,0,,,,,
146023,Einstein Never Used Flashcards: How Our Children Really Learn--and Why They Need to Play More and Memorize Less,Kathy Hirsh-Pasek,"Hirsh-Pasek, Kathy","Roberta Michnick Golinkoff, Diane Eyer","=""1594860688""","=""9781594860683""",0,3.91,Rodale Books,Paperback,320,2004,2003,,2017/04/08,"to-read, parenting","to-read (#630), parenting (#4)",to-read,,,,0,,,0,,,,,
9373542,Smart Parenting for Smart Kids: Nurturing Your Child's True Potential,Eileen Kennedy-Moore,"Kennedy-Moore, Eileen",Mark S. Lowenthal,"=""0470640057""","=""9780470640050""",0,3.94,Jossey-Bass,Paperback,306,2011,2011,,2017/04/08,to-read,to-read (#629),to-read,,,,0,,,0,,,,,
12393316,No Regrets Parenting: Turning Long Days and Short Years into Cherished Moments with Your Kids,Harley A. Rotbart,"Rotbart, Harley A.",,"=""1449410944""","=""9781449410940""",0,3.23,Andrews McMeel Publishing,Paperback,232,2012,2012,,2017/04/08,"to-read, parenting","to-read (#628), parenting (#3)",to-read,,,,0,,,0,,,,,
29358301,Vital Little Plans: The Short Works of Jane Jacobs,Jane Jacobs,"Jacobs, Jane","Samuel Zipp, Nathan Storring","=""0399589600""","=""9780399589607""",0,4.23,Random House,Hardcover,544,2016,2016,,2017/04/08,"to-read, urban-studies","to-read (#627), urban-studies (#8)",to-read,,,,0,,,0,,,,,
373969,The Stuff of Thought: Language as a Window into Human Nature,Steven Pinker,"Pinker, Steven",,"=""0670063274""","=""9780670063277""",0,3.89,Viking Penguin,Hardcover,499,2007,2007,,2017/04/03,"currently-reading, cognitive-science, ling","currently-reading (#4), cognitive-science (#45), ling (#14)",currently-reading,,,,0,,,0,,,,,
30134847,Waking Gods (Themis Files #2),Sylvain Neuvel,"Neuvel, Sylvain",,"=""1101886722""","=""9781101886724""",0,4.22, Del Rey,Hardcover,320,2017,2017,,2017/03/29,"to-read, scifi","to-read (#626), scifi (#158)",to-read,,,,0,,,0,,,,,
33221619,"Software Architecture for Developers: Volume 2 - Visualise, document and explore your software architecture",Simon  Brown,"Brown, Simon",,"=""""","=""""",3,3.50,Leanpub,ebook,197,2016,2015,,2017/03/24,"for-work, software-development","for-work (#8), software-development (#17)",read,,,,0,,,0,,,,,
25083866,Junk DNA: A Journey Through the Dark Matter of the Genome,Nessa Carey,"Carey, Nessa",,"=""184831826X""","=""9781848318267""",0,3.91,Icon Books,Hardcover,336,2015,2015,,2017/03/19,"currently-reading, biology, library","currently-reading (#2), biology (#16), library (#108)",currently-reading,,,,0,,,0,,,,,
12007,"Use of Weapons (Culture, #3)",Iain M. Banks,"Banks, Iain M.",,"=""185723135X""","=""9781857231359""",3,4.18,Orbit,Paperback,411,1992,1990,2017/03/24,2017/03/02,"audio-book, library, scifi","audio-book (#14), library (#107), scifi (#157)",read,,,,1,,,0,,,,,
3146953,The Mechanical Mind in History (Bradford Books),Philip Husbands,"Husbands, Philip","Owen Holland, Michael Wheeler","=""0262083779""","=""9780262083775""",0,3.33,A Bradford Book,Hardcover,472,2008,2008,,2017/02/27,"to-read, computer-science","to-read (#625), computer-science (#38)",to-read,,,,0,,,0,,,,,
30009088,Welcome to the Universe: An Astrophysical Tour,Neil deGrasse Tyson,"Tyson, Neil deGrasse","Michael A Strauss, J. Richard Gott  III","=""0691157243""","=""9780691157245""",0,4.29,Princeton University Press,Hardcover,472,2016,2016,,2017/02/18,"physics, currently-reading, library","physics (#19), currently-reading (#3), library (#109)",currently-reading,,,,0,,,0,,,,,
1070156,Nightmare Abbey; Crotchet Castle,Thomas Love Peacock,"Peacock, Thomas Love",,"=""0140430458""","=""9780140430455""",0,3.48,Penguin Classics,Paperback,288,1982,1830,,2017/02/10,to-read,to-read (#624),to-read,,,,0,,,0,,,,,
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark  Manson,"Manson, Mark",,"=""006245773X""","=""9780062457738""",0,4.04,HarperOne,Edición Kindle,229,2016,2016,,2017/02/10,"to-read, psychology, philosophy","to-read (#623), psychology (#3), philosophy (#42)",to-read,,,,0,,,0,,,,,
127228,Responsibility and Judgment,Hannah Arendt,"Arendt, Hannah",,"=""0805211624""","=""9780805211627""",0,4.26,Schocken Books,Paperback,295,2005,2003,,2017/02/10,"to-read, philosophy","to-read (#622), philosophy (#41)",to-read,,,,0,,,0,,,,,
32075463,The Rise and Fall of D.O.D.O.,Neal Stephenson,"Stephenson, Neal",Nicole Galland,"=""0062409174""","=""9780062409171""",0,4.03,William Morrow,ebook,768,2017,2017,,2017/02/07,"to-read, scifi","to-read (#621), scifi (#156)",to-read,,,,0,,,0,,,,,
18630,"The Player of Games (Culture, #2)",Iain M. Banks,"Banks, Iain M.",,"=""0061053562""","=""9780061053566""",4,4.26,HarperPrism,Paperback,293,1997,1988,2017/02/21,2017/02/07,"scifi, audio-book","scifi (#155), audio-book (#13)",read,,,,1,,,0,,,,,
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",5,4.48,TOR,Hardcover,604,2016,2010,2017/02/25,2017/02/07,"chinese, scifi","chinese (#11), scifi (#154)",read,,,,1,,,0,,,,,
8248700,The Agile Samurai: How Agile Masters Deliver Great Software,Jonathan Rasmusson,"Rasmusson, Jonathan",,"=""""","=""""",4,3.93,The Pragmatic Programmers,ebook,267,2010,2010,2017/01/08,2017/01/08,"software-development, for-work","software-development (#16), for-work (#7)",read,A very nice guide to agile principles and techniques that doesn't prescribe dogmatic adherence to the practices of an particular methodology like Scrum or XP.,,,,,,0,,,,,
13594148,The Master and his Emissary: The Divided Brain and the Making of the Western World,Iain McGilchrist,"McGilchrist, Iain",,"=""0300188374""","=""9780300188370""",0,4.27,Yale University Press,Paperback,534,2012,2009,,2016/12/27,to-read,to-read (#620),to-read,,,,,,,0,,,,,
